key	sort_order	frontend_faction_leader	frontend_character
#frontend_faction_leader_unique_characters_tables;3;db/frontend_faction_leader_unique_characters_tables/3k_194_dlc05_new_year			
3k_dlc05_template_historical_lady_mi_earth	7	3k_dlc05_political_party_liu_bei_ruler	3k_dlc04_template_historical_lady_mi_earth
3k_dlc05_ytr_template_historical_pei_yuanshao_hero_veteran	10	3k_dlc05_political_party_yellow_turban_ruler	3k_ytr_template_historical_pei_yuanshao_hero_wood
3k_dlc05_template_historical_yuan_shang_hero_earth	7	3k_dlc05_political_party_yuan_shao_ruler	3k_main_template_historical_yuan_shang_hero_earth
3k_dlc05_template_historical_xiahou_dun_hero_wood	5	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_dun_hero_wood
3k_dlc05_template_historical_xiahou_yuan_hero_fire	6	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_yuan_hero_fire
3k_dlc05_template_historical_dian_wei_hero_wood	1	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_dian_wei_hero_wood
3k_dlc05_template_historical_xun_yu_hero_water	2	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_xun_yu_hero_water
3k_dlc05_template_historical_yue_jin_hero_metal	3	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_yue_jin_hero_metal
3k_dlc05_template_historical_yu_jin_hero_metal	4	3k_dlc05_political_party_cao_cao_ruler	3k_main_template_historical_yu_jin_hero_metal
