key	sort_order	frontend_faction_leader	frontend_character
#frontend_faction_leader_unique_characters_tables;3;db/frontend_faction_leader_unique_characters_tables/3k_200_dlc07_guandu			
3k_dlc07_template_historical_lady_mi_earth	7	3k_dlc07_political_party_liu_bei_ruler	3k_dlc04_template_historical_lady_mi_earth
3k_dlc07_template_historical_xiahou_dun_hero_wood	1	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_dun_hero_wood_blinded
3k_dlc07_template_historical_xu_chu_hero_wood	2	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xu_chu_hero_wood
3k_dlc07_template_historical_guo_jia_hero_water	3	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_guo_jia_hero_water
3k_dlc07_template_historical_xu_huang_hero_metal	4	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xu_huang_hero_metal
3k_dlc07_template_historical_xiahou_yuan_hero_fire	5	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xiahou_yuan_hero_fire
3k_dlc07_template_historical_xun_yu_hero_water	6	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_xun_yu_hero_water
3k_dlc07_template_historical_cao_ren_hero_earth	7	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_cao_ren_hero_earth
3k_dlc07_template_historical_yue_jin_hero_metal	8	3k_dlc07_political_party_cao_cao_ruler	3k_main_template_historical_yue_jin_hero_metal
3k_dlc07_template_historical_lady_da_qiao_hero_earth	0	3k_dlc07_political_party_sun_ce_ruler	3k_main_template_historical_lady_da_qiao_hero_earth
3k_dlc07_template_historical_lady_xiao_qiao_hero_metal	1	3k_dlc07_political_party_sun_ce_ruler	3k_main_template_historical_lady_xiao_qiao_hero_metal
3k_dlc07_template_historical_zhang_hong_hero_water	2	3k_dlc07_political_party_sun_ce_ruler	3k_main_template_historical_zhang_hong_hero_water
3k_dlc07_template_historical_zhang_zhao_hero_water	3	3k_dlc07_political_party_sun_ce_ruler	3k_main_template_historical_zhang_zhao_hero_water
